orderId,userId,shopId,totalAmount,orderStatus,createdAt
98,9028,1012,99000,PAID,2026-01-04T15:07:16.612
99,2545,758,214000,SHIPPING,2026-01-21T15:07:16.612
100,8173,832,130000,SHIPPING,2026-01-06T15:07:16.612
101,3692,967,156000,CREATED,2026-01-11T15:07:16.612
102,6405,97,64000,CREATED,2026-01-03T15:07:16.612
103,2582,1822,111000,CREATED,2026-01-02T15:07:16.612
104,6501,1499,139000,PAID,2026-01-09T15:07:16.612
105,2800,1317,138000,COMPLETED,2026-01-02T15:07:16.612
106,6642,292,158000,CREATED,2026-01-19T15:07:16.612
107,3678,1905,220000,COMPLETED,2026-01-13T15:07:16.612
108,7355,275,158000,COMPLETED,2026-01-11T15:07:16.612
109,5850,1701,142000,PAID,2026-01-03T15:07:16.612
110,3648,1281,117000,PAID,2026-01-13T15:07:16.612
111,490,1198,113000,COMPLETED,2026-01-08T15:07:16.612
112,1640,362,131000,COMPLETED,2026-01-11T15:07:16.612
113,4983,545,229000,CREATED,2025-12-29T15:07:16.612
114,2234,1469,186000,COMPLETED,2026-01-22T15:07:16.612
115,5201,1733,54000,SHIPPING,2026-01-10T15:07:16.612
116,5102,1346,216000,COMPLETED,2026-01-19T15:07:16.612
117,8585,1345,135000,PAID,2026-01-23T15:07:16.612
118,484,280,144000,PAID,2026-01-16T15:07:16.612
119,3431,138,245000,PAID,2026-01-27T15:07:16.612
120,32,957,178000,SHIPPING,2026-01-04T15:07:16.612
121,4978,476,55000,CREATED,2026-01-04T15:07:16.612
122,3054,1497,227000,PAID,2026-01-23T15:07:16.612
123,8681,1112,197000,CREATED,2025-12-31T15:07:16.612
124,9405,1201,110000,PAID,2026-01-07T15:07:16.612
125,2525,1567,94000,PAID,2026-01-09T15:07:16.612
126,4354,1368,117000,COMPLETED,2026-01-21T15:07:16.612
127,9429,879,84000,CREATED,2026-01-23T15:07:16.612
128,7576,1128,51000,PAID,2026-01-20T15:07:16.612
129,9269,137,214000,COMPLETED,2026-01-13T15:07:16.612
130,5482,1301,111000,PAID,2026-01-16T15:07:16.612
131,551,1225,162000,PAID,2026-01-06T15:07:16.612
132,7911,1494,197000,CREATED,2025-12-29T15:07:16.612
133,1256,1200,227000,PAID,2026-01-25T15:07:16.612
134,9857,230,165000,PAID,2026-01-01T15:07:16.612
135,1039,942,201000,SHIPPING,2025-12-31T15:07:16.612
136,2262,1348,128000,COMPLETED,2026-01-26T15:07:16.612
137,5429,563,212000,CREATED,2026-01-08T15:07:16.612
138,6211,15,214000,CREATED,2026-01-07T15:07:16.612
139,6495,369,192000,CREATED,2026-01-06T15:07:16.612
140,1272,1355,191000,CREATED,2026-01-07T15:07:16.612
141,1904,1068,175000,PAID,2026-01-16T15:07:16.612
142,8867,347,166000,COMPLETED,2026-01-08T15:07:16.612
143,4562,471,64000,CREATED,2026-01-02T15:07:16.612
144,1784,1067,57000,SHIPPING,2026-01-22T15:07:16.612
145,5879,1442,188000,PAID,2026-01-10T15:07:16.612
146,3129,119,193000,CREATED,2026-01-17T15:07:16.612
147,9959,116,87000,COMPLETED,2026-01-04T15:07:16.612
148,6721,474,87000,SHIPPING,2026-01-10T15:07:16.612
149,1678,376,201000,PAID,2026-01-02T15:07:16.612
150,1478,110,182000,PAID,2025-12-29T15:07:16.612
151,3195,97,112000,SHIPPING,2026-01-19T15:07:16.612
152,6760,936,51000,CREATED,2026-01-02T15:07:16.612
153,4934,1350,99000,SHIPPING,2026-01-27T15:07:16.612
154,4502,1312,86000,CREATED,2026-01-06T15:07:16.612
155,3828,653,189000,PAID,2026-01-27T15:07:16.612
156,3299,1023,247000,CREATED,2026-01-23T15:07:16.612
157,250,785,93000,CREATED,2026-01-05T15:07:16.612
158,6784,1548,232000,CREATED,2026-01-23T15:07:16.612
159,9355,223,243000,COMPLETED,2026-01-03T15:07:16.612
160,5321,1929,105000,CREATED,2026-01-11T15:07:16.612
161,2219,633,57000,CREATED,2026-01-24T15:07:16.612
162,6124,1966,74000,SHIPPING,2026-01-14T15:07:16.612
163,6482,1429,204000,CREATED,2026-01-25T15:07:16.612
164,9109,1483,112000,COMPLETED,2026-01-03T15:07:16.612
165,2930,879,164000,PAID,2026-01-13T15:07:16.612
166,7025,1043,173000,PAID,2026-01-09T15:07:16.612
167,68,12,91000,SHIPPING,2025-12-29T15:07:16.612
168,9351,943,158000,SHIPPING,2026-01-15T15:07:16.612
169,3507,1120,79000,PAID,2025-12-30T15:07:16.612
170,8714,871,181000,CREATED,2026-01-25T15:07:16.612
171,8730,732,248000,PAID,2026-01-02T15:07:16.612
172,2313,302,98000,CREATED,2026-01-18T15:07:16.612
173,7250,787,88000,CREATED,2026-01-23T15:07:16.612
174,53,1744,147000,SHIPPING,2025-12-29T15:07:16.612
175,8202,399,204000,CREATED,2025-12-29T15:07:16.612
176,139,1882,232000,CREATED,2025-12-30T15:07:16.612
177,8494,1434,88000,CREATED,2025-12-30T15:07:16.612
178,4583,1556,97000,PAID,2026-01-02T15:07:16.612
179,5403,1342,215000,CREATED,2025-12-29T15:07:16.612
180,826,1977,231000,COMPLETED,2026-01-15T15:07:16.612
181,6763,440,167000,PAID,2026-01-20T15:07:16.612
182,5679,550,161000,CREATED,2026-01-25T15:07:16.612
183,932,1015,198000,CREATED,2026-01-22T15:07:16.612
184,1459,239,198000,PAID,2026-01-14T15:07:16.612
185,7708,1872,130000,CREATED,2026-01-26T15:07:16.612
186,9445,254,83000,COMPLETED,2026-01-11T15:07:16.612
187,6388,1759,65000,PAID,2026-01-03T15:07:16.612
188,5056,36,204000,SHIPPING,2026-01-08T15:07:16.612
189,8494,213,213000,CREATED,2026-01-18T15:07:16.612
190,9454,1799,233000,SHIPPING,2026-01-11T15:07:16.612
191,7355,1423,82000,PAID,2026-01-14T15:07:16.612
192,8829,1891,170000,PAID,2026-01-27T15:07:16.612
193,2496,323,195000,SHIPPING,2025-12-29T15:07:16.612
194,8894,1123,79000,SHIPPING,2026-01-12T15:07:16.612
195,5157,974,200000,CREATED,2026-01-14T15:07:16.612
196,5146,371,119000,SHIPPING,2026-01-10T15:07:16.612
197,9919,1545,203000,SHIPPING,2026-01-24T15:07:16.612
198,2603,522,124000,COMPLETED,2026-01-13T15:07:16.612
199,9911,59,217000,COMPLETED,2025-12-31T15:07:16.612
200,1565,158,200000,PAID,2026-01-05T15:07:16.612
201,9663,1856,166000,PAID,2026-01-11T15:07:16.612
202,7978,848,104000,PAID,2026-01-18T15:07:16.612
203,2723,181,103000,CREATED,2026-01-06T15:07:16.612
204,8962,288,121000,SHIPPING,2025-12-29T15:07:16.612
205,452,1549,53000,CREATED,2026-01-10T15:07:16.612
206,5816,1029,185000,CREATED,2026-01-11T15:07:16.612
207,1239,1993,154000,COMPLETED,2026-01-17T15:07:16.612
208,3746,59,156000,CREATED,2026-01-25T15:07:16.612
209,8271,1711,230000,SHIPPING,2025-12-30T15:07:16.612
210,967,1175,85000,SHIPPING,2026-01-21T15:07:16.612
211,1891,983,228000,SHIPPING,2026-01-10T15:07:16.612
212,6685,1030,77000,CREATED,2026-01-11T15:07:16.612
213,2917,549,221000,PAID,2026-01-22T15:07:16.612
214,2930,706,246000,PAID,2026-01-06T15:07:16.612
215,6487,593,242000,COMPLETED,2026-01-14T15:07:16.612
216,340,980,223000,PAID,2026-01-23T15:07:16.612
217,6858,1262,95000,COMPLETED,2026-01-27T15:07:16.612
218,8975,1256,61000,CREATED,2026-01-24T15:07:16.612
219,9083,1328,79000,COMPLETED,2026-01-10T15:07:16.612
220,5016,785,87000,PAID,2026-01-07T15:07:16.612
221,8124,1150,186000,CREATED,2026-01-17T15:07:16.612
222,7472,1563,148000,CREATED,2026-01-20T15:07:16.612
223,3353,1301,124000,CREATED,2026-01-02T15:07:16.612
224,6328,424,163000,COMPLETED,2026-01-16T15:07:16.612
225,1178,778,114000,CREATED,2026-01-13T15:07:16.612
226,8149,1289,124000,SHIPPING,2026-01-21T15:07:16.612
227,8534,1048,186000,COMPLETED,2026-01-04T15:07:16.612
228,1883,1313,102000,COMPLETED,2026-01-13T15:07:16.612
229,6116,97,173000,PAID,2026-01-14T15:07:16.612
230,3681,672,198000,COMPLETED,2026-01-20T15:07:16.612
231,2030,801,128000,PAID,2026-01-04T15:07:16.612
232,283,55,186000,CREATED,2026-01-08T15:07:16.612
233,6444,935,135000,SHIPPING,2026-01-16T15:07:16.612
234,8040,1423,226000,SHIPPING,2026-01-10T15:07:16.612
235,8814,1056,241000,CREATED,2026-01-11T15:07:16.612
236,8777,118,177000,COMPLETED,2026-01-12T15:07:16.612
237,7899,1230,80000,COMPLETED,2026-01-18T15:07:16.612
238,2897,1261,226000,COMPLETED,2026-01-11T15:07:16.612
239,6811,1179,213000,PAID,2026-01-12T15:07:16.612
240,1090,1794,82000,PAID,2026-01-07T15:07:16.612
241,543,1843,146000,CREATED,2025-12-29T15:07:16.612
242,2190,1844,210000,CREATED,2026-01-19T15:07:16.612
243,49,1507,113000,SHIPPING,2026-01-01T15:07:16.612
244,5837,1139,61000,COMPLETED,2026-01-11T15:07:16.612
245,2945,1297,215000,CREATED,2026-01-13T15:07:16.612
246,7957,1190,87000,COMPLETED,2025-12-29T15:07:16.612
247,9783,115,65000,PAID,2026-01-27T15:07:16.612
248,9808,493,139000,COMPLETED,2026-01-03T15:07:16.612
249,9652,358,184000,COMPLETED,2026-01-26T15:07:16.612
250,1369,1281,208000,COMPLETED,2026-01-03T15:07:16.612
251,1086,1142,162000,COMPLETED,2026-01-22T15:07:16.612
252,1694,1724,125000,PAID,2026-01-27T15:07:16.612
253,1672,657,225000,SHIPPING,2026-01-13T15:07:16.612
254,6202,158,229000,COMPLETED,2026-01-19T15:07:16.612
255,9321,1907,157000,CREATED,2025-12-31T15:07:16.612
256,8927,1198,103000,CREATED,2026-01-23T15:07:16.612
257,8141,356,216000,SHIPPING,2026-01-12T15:07:16.612
258,3941,1330,234000,CREATED,2026-01-23T15:07:16.612
259,135,584,158000,SHIPPING,2026-01-25T15:07:16.612
260,2060,1273,184000,SHIPPING,2026-01-17T15:07:16.612
261,5187,1627,173000,SHIPPING,2026-01-17T15:07:16.612
262,8361,856,56000,SHIPPING,2026-01-26T15:07:16.612
263,8924,303,236000,COMPLETED,2026-01-23T15:07:16.612
264,5396,1964,80000,CREATED,2026-01-09T15:07:16.612
265,7295,1097,236000,SHIPPING,2026-01-02T15:07:16.612
266,2503,711,120000,COMPLETED,2026-01-25T15:07:16.612
267,2830,242,162000,SHIPPING,2026-01-25T15:07:16.612
268,3984,435,63000,COMPLETED,2026-01-14T15:07:16.612
269,9833,443,127000,CREATED,2026-01-05T15:07:16.612
270,1077,190,188000,CREATED,2026-01-25T15:07:16.612
271,2749,934,202000,PAID,2026-01-26T15:07:16.612
272,4959,1459,205000,CREATED,2026-01-17T15:07:16.612
273,8930,1179,119000,COMPLETED,2026-01-18T15:07:16.612
274,2719,1279,116000,SHIPPING,2026-01-04T15:07:16.612
275,5706,887,89000,SHIPPING,2026-01-08T15:07:16.612
276,9391,980,219000,COMPLETED,2026-01-20T15:07:16.612
277,4593,611,178000,SHIPPING,2026-01-06T15:07:16.612
278,9466,1656,249000,CREATED,2026-01-04T15:07:16.612
279,2664,1584,231000,CREATED,2025-12-30T15:07:16.612
280,3705,1644,93000,CREATED,2026-01-17T15:07:16.612
281,3661,1963,167000,SHIPPING,2026-01-13T15:07:16.612
282,742,1485,82000,PAID,2026-01-26T15:07:16.612
283,9233,852,62000,PAID,2026-01-17T15:07:16.612
284,6119,1081,178000,SHIPPING,2026-01-11T15:07:16.612
285,2069,1920,133000,COMPLETED,2026-01-01T15:07:16.612
286,687,1025,128000,SHIPPING,2026-01-27T15:07:16.612
287,7920,1166,242000,CREATED,2026-01-08T15:07:16.612
288,9284,471,50000,SHIPPING,2026-01-08T15:07:16.612
289,5852,1508,138000,PAID,2026-01-23T15:07:16.612
290,4480,196,136000,PAID,2026-01-12T15:07:16.612
291,8829,192,81000,COMPLETED,2026-01-02T15:07:16.612
292,7296,1633,203000,COMPLETED,2026-01-16T15:07:16.612
293,2257,1772,192000,SHIPPING,2026-01-02T15:07:16.612
294,805,328,140000,PAID,2026-01-12T15:07:16.612
295,934,1404,72000,PAID,2026-01-10T15:07:16.612
296,2446,563,199000,SHIPPING,2026-01-19T15:07:16.612
297,1708,1593,194000,PAID,2025-12-30T15:07:16.612
298,651,1452,70000,COMPLETED,2026-01-18T15:07:16.612
299,6681,1213,85000,COMPLETED,2026-01-23T15:07:16.612
300,8124,1708,149000,CREATED,2026-01-06T15:07:16.612
301,3667,1879,61000,SHIPPING,2026-01-16T15:07:16.612
302,6342,266,74000,PAID,2026-01-07T15:07:16.612
303,30,1409,220000,CREATED,2026-01-20T15:07:16.612
304,6846,1154,114000,PAID,2026-01-10T15:07:16.612
305,2619,235,99000,SHIPPING,2026-01-24T15:07:16.612
306,1310,717,126000,PAID,2026-01-04T15:07:16.612
307,5202,1557,202000,SHIPPING,2026-01-07T15:07:16.612
308,4647,1006,235000,SHIPPING,2026-01-10T15:07:16.612
309,795,268,185000,SHIPPING,2026-01-10T15:07:16.612
310,262,778,65000,SHIPPING,2026-01-07T15:07:16.612
311,3343,1581,102000,CREATED,2026-01-24T15:07:16.612
312,5797,983,82000,COMPLETED,2026-01-24T15:07:16.612
313,4922,993,161000,COMPLETED,2026-01-26T15:07:16.612
314,8091,1120,181000,SHIPPING,2026-01-03T15:07:16.612
315,1368,302,231000,PAID,2026-01-04T15:07:16.612
316,8247,1659,154000,CREATED,2026-01-27T15:07:16.612
317,7817,1682,138000,CREATED,2026-01-12T15:07:16.612
318,1669,315,66000,COMPLETED,2026-01-07T15:07:16.612
319,1713,153,207000,PAID,2026-01-02T15:07:16.612
320,3677,1369,65000,PAID,2026-01-19T15:07:16.612
321,9868,877,68000,SHIPPING,2026-01-25T15:07:16.612
322,3868,35,192000,SHIPPING,2026-01-06T15:07:16.612
323,3643,1830,101000,COMPLETED,2026-01-18T15:07:16.612
324,1276,890,201000,COMPLETED,2026-01-18T15:07:16.612
325,6339,279,88000,SHIPPING,2026-01-17T15:07:16.612
326,2810,130,104000,SHIPPING,2026-01-07T15:07:16.612
327,8190,922,241000,CREATED,2026-01-23T15:07:16.612
328,4957,719,155000,COMPLETED,2026-01-04T15:07:16.612
329,5302,125,101000,COMPLETED,2026-01-18T15:07:16.612
330,3337,467,79000,SHIPPING,2026-01-21T15:07:16.612
331,1729,1143,232000,COMPLETED,2026-01-11T15:07:16.612
332,7696,1716,64000,SHIPPING,2026-01-08T15:07:16.612
333,46,326,230000,SHIPPING,2026-01-19T15:07:16.612
334,4137,1894,216000,COMPLETED,2025-12-29T15:07:16.612
335,8276,1118,168000,COMPLETED,2026-01-27T15:07:16.612
336,8610,499,164000,CREATED,2026-01-11T15:07:16.612
337,1134,1783,96000,COMPLETED,2026-01-20T15:07:16.612
338,9232,449,165000,COMPLETED,2026-01-20T15:07:16.612
339,2524,1187,55000,COMPLETED,2026-01-23T15:07:16.612
340,4888,1284,225000,SHIPPING,2026-01-23T15:07:16.612
341,753,1858,200000,PAID,2026-01-06T15:07:16.612
342,189,177,194000,PAID,2025-12-30T15:07:16.612
343,559,589,197000,SHIPPING,2025-12-31T15:07:16.612
344,4838,1585,221000,PAID,2026-01-03T15:07:16.612
345,4510,1547,130000,COMPLETED,2026-01-19T15:07:16.612
346,1003,895,182000,COMPLETED,2026-01-07T15:07:16.612
347,8102,408,57000,SHIPPING,2026-01-08T15:07:16.612
348,5521,279,121000,CREATED,2026-01-25T15:07:16.612
349,7095,536,148000,PAID,2026-01-21T15:07:16.612
350,8814,1727,238000,COMPLETED,2026-01-27T15:07:16.612
351,6672,489,151000,COMPLETED,2026-01-09T15:07:16.612
352,4941,1654,104000,COMPLETED,2026-01-23T15:07:16.612
353,7984,1541,105000,COMPLETED,2026-01-08T15:07:16.612
354,2877,1441,191000,CREATED,2026-01-14T15:07:16.612
355,1575,1069,119000,COMPLETED,2026-01-11T15:07:16.612
356,2419,1515,71000,CREATED,2026-01-04T15:07:16.612
357,1947,1857,203000,PAID,2026-01-27T15:07:16.612
358,2636,75,111000,CREATED,2026-01-04T15:07:16.612
359,1562,1630,130000,COMPLETED,2026-01-14T15:07:16.612
360,9587,1971,182000,CREATED,2026-01-15T15:07:16.612
361,1249,1320,89000,CREATED,2026-01-02T15:07:16.612
362,212,719,200000,SHIPPING,2025-12-29T15:07:16.612
363,1498,1011,174000,PAID,2026-01-20T15:07:16.612
364,7681,928,100000,PAID,2026-01-06T15:07:16.612
365,9708,1309,87000,PAID,2026-01-05T15:07:16.612
366,3570,678,179000,PAID,2026-01-21T15:07:16.612
367,8193,226,162000,COMPLETED,2026-01-05T15:07:16.612
368,2975,506,56000,COMPLETED,2026-01-19T15:07:16.612
369,5968,163,67000,PAID,2025-12-30T15:07:16.612
370,7432,1247,141000,CREATED,2026-01-04T15:07:16.612
371,4942,1076,148000,COMPLETED,2026-01-12T15:07:16.612
372,9447,1115,249000,CREATED,2026-01-03T15:07:16.612
373,9241,1384,132000,CREATED,2026-01-01T15:07:16.612
374,83,1025,240000,COMPLETED,2026-01-09T15:07:16.612
375,5628,1173,62000,SHIPPING,2026-01-04T15:07:16.612
376,8658,429,211000,PAID,2026-01-27T15:07:16.612
377,3854,607,149000,CREATED,2026-01-25T15:07:16.612
378,7514,1245,112000,SHIPPING,2025-12-31T15:07:16.612
379,3744,1367,111000,SHIPPING,2026-01-14T15:07:16.612
380,4458,144,67000,CREATED,2025-12-29T15:07:16.612
381,2899,777,64000,SHIPPING,2026-01-17T15:07:16.612
382,8656,1680,88000,COMPLETED,2025-12-29T15:07:16.612
383,2738,962,183000,COMPLETED,2026-01-26T15:07:16.612
384,2456,260,185000,PAID,2026-01-15T15:07:16.612
385,2573,30,167000,SHIPPING,2026-01-09T15:07:16.612
386,8646,916,152000,SHIPPING,2026-01-16T15:07:16.612
387,1027,969,187000,CREATED,2026-01-21T15:07:16.612
388,9499,1365,161000,SHIPPING,2026-01-13T15:07:16.612
389,8767,477,92000,PAID,2026-01-03T15:07:16.612
390,1295,1911,157000,SHIPPING,2026-01-04T15:07:16.612
391,1326,1723,160000,PAID,2026-01-24T15:07:16.612
392,9061,437,207000,CREATED,2026-01-23T15:07:16.612
393,5682,861,193000,PAID,2026-01-27T15:07:16.612
394,1201,852,53000,PAID,2026-01-27T15:07:16.612
395,9178,1957,235000,COMPLETED,2026-01-15T15:07:16.612
396,4643,84,220000,COMPLETED,2026-01-21T15:07:16.612
397,8514,751,75000,COMPLETED,2026-01-14T15:07:16.612
398,885,1678,229000,CREATED,2026-01-08T15:07:16.612
399,9292,1265,165000,CREATED,2026-01-27T15:07:16.612
400,345,1451,129000,PAID,2026-01-16T15:07:16.612
401,9957,530,248000,CREATED,2026-01-25T15:07:16.612
402,443,539,161000,SHIPPING,2026-01-23T15:07:16.612
403,2474,1436,100000,CREATED,2026-01-03T15:07:16.612
404,4919,1767,190000,COMPLETED,2026-01-05T15:07:16.612
405,7685,19,184000,COMPLETED,2026-01-04T15:07:16.612
406,8428,1054,207000,SHIPPING,2026-01-26T15:07:16.612
407,4330,1737,101000,COMPLETED,2026-01-12T15:07:16.612
408,4348,241,135000,SHIPPING,2026-01-02T15:07:16.612
409,1293,399,167000,COMPLETED,2026-01-20T15:07:16.612
410,4301,1006,136000,CREATED,2026-01-10T15:07:16.612
411,3882,1069,207000,CREATED,2026-01-15T15:07:16.612
412,8965,91,108000,COMPLETED,2026-01-10T15:07:16.612
413,769,630,177000,SHIPPING,2025-12-31T15:07:16.612
414,7165,1107,220000,CREATED,2026-01-09T15:07:16.612
415,4074,1447,114000,CREATED,2025-12-30T15:07:16.612
416,2066,1206,74000,PAID,2026-01-23T15:07:16.612
417,6038,669,112000,CREATED,2026-01-14T15:07:16.612
418,5675,1631,80000,SHIPPING,2026-01-16T15:07:16.612
419,4468,446,246000,PAID,2026-01-21T15:07:16.612
420,9445,319,108000,PAID,2026-01-04T15:07:16.612
421,3201,1311,88000,CREATED,2026-01-12T15:07:16.612
422,6103,1450,134000,SHIPPING,2026-01-17T15:07:16.612
423,1180,1751,198000,CREATED,2026-01-13T15:07:16.612
424,616,456,79000,PAID,2026-01-14T15:07:16.612
425,9165,273,58000,CREATED,2025-12-31T15:07:16.612
426,4851,150,194000,PAID,2026-01-24T15:07:16.612
427,7027,625,131000,CREATED,2026-01-06T15:07:16.612
428,7481,259,190000,SHIPPING,2026-01-24T15:07:16.612
429,4341,673,166000,PAID,2026-01-21T15:07:16.612
430,2949,1777,188000,PAID,2026-01-22T15:07:16.612
431,8198,638,189000,PAID,2026-01-18T15:07:16.612
432,1748,826,123000,COMPLETED,2026-01-08T15:07:16.612
433,3392,1514,162000,SHIPPING,2025-12-30T15:07:16.612
434,9100,1642,206000,CREATED,2026-01-22T15:07:16.612
435,6549,1120,149000,COMPLETED,2026-01-06T15:07:16.612
436,3134,1451,206000,CREATED,2026-01-06T15:07:16.612
437,9691,1382,144000,COMPLETED,2026-01-02T15:07:16.612
438,2796,492,107000,SHIPPING,2026-01-25T15:07:16.612
439,6558,540,95000,COMPLETED,2026-01-24T15:07:16.612
440,2056,1040,109000,COMPLETED,2026-01-26T15:07:16.612
441,6432,2000,180000,CREATED,2025-12-30T15:07:16.612
442,647,1702,194000,COMPLETED,2026-01-14T15:07:16.612
443,7672,496,236000,PAID,2026-01-21T15:07:16.612
444,3448,1227,191000,PAID,2025-12-31T15:07:16.612
445,1061,277,220000,COMPLETED,2025-12-29T15:07:16.612
446,6906,1564,246000,COMPLETED,2026-01-15T15:07:16.612
447,28,989,93000,SHIPPING,2026-01-24T15:07:16.612
