variant_id,product_id,size,color,stock
V00401,P0402,L,Red,154
V00402,P0403,XL,Blue,47
V00403,P0404,M,White,0
V00404,P0405,S,White,99
V00405,P0406,XL,Black,64
V00406,P0407,M,Black,153
V00407,P0408,XL,White,147
V00408,P0409,M,White,102
V00409,P0410,XL,Black,158
V00410,P0411,S,Black,75
V00411,P0412,M,Black,4
V00412,P0413,S,Black,171
V00413,P0414,M,Blue,173
V00414,P0415,L,Black,94
V00415,P0416,S,Blue,65
V00416,P0417,L,White,52
V00417,P0418,S,Red,69
V00418,P0419,M,Blue,0
V00419,P0420,M,Red,38
V00420,P9999,S,White,159
V00421,P0422,M,Red,107
V00422,P0423,XL,Blue,99
V00423,P0424,S,Blue,75
V00424,P0425,L,Black,102
V00425,P0426,M,Blue,152
V00426,P0427,S,Blue,17
V00427,P0428,S,Red,41
V00428,P0429,M,Black,176
V00429,P0430,XL,White,28
V00430,P0431,M,Blue,135
V00431,P0432,M,Black,172
V00432,P0433,S,White,81
V00433,P0434,S,Black,170
V00434,P0435,S,Black,181
V00435,P0436,M,Black,83
V00436,P0437,S,Black,74
V00437,P0438,S,Red,20
V00438,P0439,XL,White,0
V00439,P0440,XL,Blue,155
V00440,P0441,XL,Black,37
V00441,P0442,M,Black,70
V00442,P0443,XL,Blue,37
V00443,P0444,S,Blue,130
V00444,P0445,S,Black,32
V00445,P0446,S,Black,192
V00446,P0447,L,Red,113
V00447,P0448,S,White,41
V00448,P0449,M,Red,196
V00449,P0450,S,Red,117
V00450,P9999,S,Red,-5
V00451,P0452,S,White,0
V00452,P0453,S,White,99
V00453,P0454,M,Red,32
V00454,P0455,M,Blue,98
V00455,P0456,L,Blue,34
V00456,P0457,XL,Black,167
V00457,P0458,S,Blue,8
V00458,P0459,S,Red,30
V00459,P0460,S,White,126
V00460,P0461,L,Blue,82
V00461,P0462,L,Red,129
V00462,P0463,XL,Red,54
V00463,P0464,S,Black,180
V00464,P0465,XL,Red,133
V00465,P0466,L,Blue,2
V00466,P0467,XL,Black,158
V00467,P0468,L,White,84
V00468,P0469,XL,Red,158
V00469,P0470,L,Red,187
V00470,P0471,XL,White,11
V00471,P0472,L,White,40
V00472,P0473,S,Blue,40
V00473,P0474,M,Black,34
V00474,P0475,S,Red,94
V00475,P0476,L,Blue,80
V00476,P0477,XL,Black,81
V00477,P0478,M,Blue,196
V00478,P0479,M,Red,152
V00479,P0480,M,Blue,42
V00480,P9999,L,White,194
V00481,P0482,L,Red,43
V00482,P0483,L,Black,124
V00483,P0484,S,Black,91
V00484,P0485,L,White,145
V00485,P0486,L,Black,54
V00486,P0487,M,Red,156
V00487,P0488,S,Blue,45
V00488,P0489,M,Black,73
V00489,P0490,L,Black,10
V00490,P0491,L,Black,18
V00491,P0492,XL,White,173
V00492,P0493,L,Blue,27
V00493,P0494,XL,Red,163
V00494,P0495,M,White,191
V00495,P0496,L,Black,145
V00496,P0497,L,White,30
V00497,P0498,XL,Red,182
V00498,P0499,S,Red,177
V00499,P0500,L,Black,76
V00500,P0501,M,White,-5
V00501,P0502,L,Black,36
V00502,P0503,M,Blue,57
V00503,P0504,L,White,188
V00504,P0505,L,Black,184
V00505,P0506,S,Blue,6
V00506,P0507,S,White,99
V00507,P0508,L,Red,28
V00508,P0509,S,Blue,32
V00509,P0510,XL,Black,169
V00510,P9999,XL,White,124
V00511,P0512,M,Black,120
V00512,P0513,S,White,107
V00513,P0514,M,Black,94
V00514,P0515,L,White,195
V00515,P0516,XL,Red,56
V00516,P0517,M,Red,131
V00517,P0518,XL,Blue,32
V00518,P0519,XL,Red,106
V00519,P0520,L,Red,69
V00520,P0521,S,Black,58
V00521,P0522,L,Blue,166
V00522,P0523,M,Black,60
V00523,P0524,XL,Red,188
V00524,P0525,M,White,52
V00525,P0526,S,Black,86
V00526,P0527,XL,Blue,43
V00527,P0528,XL,Black,168
V00528,P0529,XL,Black,63
V00529,P0530,S,Red,109
V00530,P0531,L,Black,164
V00531,P0532,XL,Black,183
V00532,P0533,L,Red,104
V00533,P0534,M,Blue,52
V00534,P0535,L,Black,1
V00535,P0536,L,White,78
V00536,P0537,S,Red,11
V00537,P0538,XL,Black,14
V00538,P0539,S,Blue,91
V00539,P0540,M,Red,8
V00540,P9999,L,Blue,7
V00541,P0542,M,Black,21
V00542,P0543,M,Red,17
V00543,P0544,M,White,17
V00544,P0545,L,White,92
V00545,P0546,L,Black,107
V00546,P0547,S,Blue,80
V00547,P0548,S,Black,48
V00548,P0549,S,White,58
V00549,P0550,L,Red,156
V00550,P0551,XL,White,-5
V00551,P0552,L,Black,180
V00552,P0553,S,Black,181
V00553,P0554,M,Red,119
V00554,P0555,L,Red,191
V00555,P0556,M,Red,97
V00556,P0557,M,Red,9
V00557,P0558,L,Blue,120
V00558,P0559,XL,Blue,12
V00559,P0560,S,White,107
V00560,P0561,L,Blue,154
V00561,P0562,M,Red,126
V00562,P0563,M,Red,134
V00563,P0564,S,Blue,102
V00564,P0565,M,White,28
V00565,P0566,M,White,97
V00566,P0567,S,Black,131
V00567,P0568,L,Red,52
V00568,P0569,L,White,24
V00569,P0570,S,Blue,126
V00570,P9999,XL,White,171
V00571,P0572,XL,White,150
V00572,P0573,S,Blue,152
V00573,P0574,L,Blue,22
V00574,P0575,M,White,113
V00575,P0576,S,White,61
V00576,P0577,M,White,79
V00577,P0578,XL,Blue,95
V00578,P0579,S,White,149
V00579,P0580,M,White,106
V00580,P0581,L,Black,109
V00581,P0582,XL,Black,118
V00582,P0583,S,Red,102
V00583,P0584,S,Blue,166
V00584,P0585,S,Red,153
V00585,P0586,XL,Black,87
V00586,P0587,L,Blue,77
V00587,P0588,L,Blue,111
V00588,P0589,L,Red,32
V00589,P0590,L,White,66
V00590,P0591,S,Red,100
V00591,P0592,L,Black,25
V00592,P0593,XL,Red,139
V00593,P0594,S,Blue,75
V00594,P0595,L,White,109
V00595,P0596,XL,Blue,196
V00596,P0597,XL,Red,45
V00597,P0598,XL,Black,85
V00598,P0599,XL,Black,174
V00599,P0600,XL,Blue,183
V00600,P9999,L,White,-5
V00601,P0602,L,White,77
V00602,P0603,L,Red,25
V00603,P0604,S,Blue,125
V00604,P0605,XL,Red,37
V00605,P0606,XL,Blue,99
V00606,P0607,M,Red,1
V00607,P0608,L,Blue,123
V00608,P0609,S,Black,32
V00609,P0610,XL,Black,167
V00610,P0611,M,Black,10
V00611,P0612,L,Blue,107
V00612,P0613,L,White,187
V00613,P0614,M,Black,147
V00614,P0615,M,Black,99
V00615,P0616,L,White,10
V00616,P0617,XL,Black,115
V00617,P0618,S,Blue,176
V00618,P0619,XL,Red,1
V00619,P0620,L,Blue,178
V00620,P0621,S,White,24
V00621,P0622,S,White,145
V00622,P0623,L,White,31
V00623,P0624,S,Black,29
V00624,P0625,S,Red,37
V00625,P0626,M,Black,25
V00626,P0627,L,Red,52
V00627,P0628,XL,White,198
V00628,P0629,L,White,56
V00629,P0630,S,Blue,173
V00630,P9999,S,Blue,89
V00631,P0632,S,White,142
V00632,P0633,L,White,96
V00633,P0634,L,Black,125
V00634,P0635,M,Red,150
V00635,P0636,M,Black,138
V00636,P0637,M,Blue,58
V00637,P0638,M,Black,163
V00638,P0639,S,Red,136
V00639,P0640,L,White,66
V00640,P0641,L,Red,118
V00641,P0642,L,Red,37
V00642,P0643,M,White,1
V00643,P0644,XL,Red,29
V00644,P0645,L,Red,36
V00645,P0646,L,White,103
V00646,P0647,M,Red,75
V00647,P0648,L,White,25
V00648,P0649,M,Red,6
V00649,P0650,M,White,56
V00650,P0651,S,Black,-5
V00651,P0652,M,White,106
V00652,P0653,XL,Black,150
V00653,P0654,XL,White,47
V00654,P0655,S,White,150
V00655,P0656,M,White,163
V00656,P0657,S,White,87
V00657,P0658,L,Blue,55
V00658,P0659,M,Blue,158
V00659,P0660,M,Black,9
V00660,P9999,S,White,67
V00661,P0662,XL,White,195
V00662,P0663,XL,White,174
V00663,P0664,S,White,155
V00664,P0665,S,Black,81
V00665,P0666,L,Black,171
V00666,P0667,M,White,110
V00667,P0668,M,Blue,94
V00668,P0669,XL,White,161
V00669,P0670,S,Blue,8
V00670,P0671,S,Blue,179
V00671,P0672,L,White,100
V00672,P0673,XL,Blue,98
V00673,P0674,S,Red,33
V00674,P0675,L,Blue,36
V00675,P0676,S,Blue,96
V00676,P0677,L,Black,185
V00677,P0678,XL,Blue,161
V00678,P0679,L,Black,114
V00679,P0680,S,Black,75
V00680,P0681,M,Black,198
V00681,P0682,S,Blue,90
V00682,P0683,L,Red,32
V00683,P0684,XL,White,114
V00684,P0685,XL,White,168
V00685,P0686,XL,Red,192
V00686,P0687,S,Red,136
V00687,P0688,XL,Red,128
V00688,P0689,M,Black,72
V00689,P0690,L,White,172
V00690,P9999,M,White,126
V00691,P0692,L,White,171
V00692,P0693,L,Red,163
V00693,P0694,XL,White,52
V00694,P0695,XL,White,191
V00695,P0696,M,White,181
V00696,P0697,L,White,152
V00697,P0698,L,Red,171
V00698,P0699,XL,Blue,9
V00699,P0700,XL,Blue,128
V00700,P0701,M,Red,-5
V00701,P0702,L,Black,129
V00702,P0703,M,Red,107
V00703,P0704,M,Black,83
V00704,P0705,S,White,68
V00705,P0706,S,White,42
V00706,P0707,M,Blue,129
V00707,P0708,L,Red,78
V00708,P0709,L,White,85
V00709,P0710,M,Blue,198
V00710,P0711,S,Blue,193
V00711,P0712,XL,Blue,37
V00712,P0713,M,Blue,115
V00713,P0714,XL,White,129
V00714,P0715,M,Red,90
V00715,P0716,L,White,196
V00716,P0717,L,Blue,56
V00717,P0718,M,White,171
V00718,P0719,S,Blue,26
V00719,P0720,L,Red,11
V00720,P9999,XL,Black,75
V00721,P0722,M,White,139
V00722,P0723,M,Red,199
V00723,P0724,XL,Blue,197
V00724,P0725,S,Blue,170
V00725,P0726,S,Black,134
V00726,P0727,S,Blue,168
V00727,P0728,L,White,152
V00728,P0729,L,White,55
V00729,P0730,XL,Black,68
V00730,P0731,L,Blue,14
V00731,P0732,S,White,47
V00732,P0733,S,Black,91
V00733,P0734,L,Blue,76
V00734,P0735,L,Blue,50
V00735,P0736,S,White,130
V00736,P0737,M,Blue,3
V00737,P0738,S,Black,151
V00738,P0739,L,White,114
V00739,P0740,XL,Black,159
V00740,P0741,M,White,182
V00741,P0742,XL,Red,121
V00742,P0743,S,White,77
V00743,P0744,XL,White,161
V00744,P0745,S,Black,160
V00745,P0746,S,Black,173
V00746,P0747,S,Blue,143
V00747,P0748,S,White,134
V00748,P0749,XL,Red,63
V00749,P0750,XL,Red,70
V00750,P9999,M,Black,-5
V00751,P0752,M,White,125
V00752,P0753,M,Black,88
V00753,P0754,L,White,95
V00754,P0755,L,Red,182
V00755,P0756,XL,Black,53
V00756,P0757,S,Black,135
V00757,P0758,L,Black,19
V00758,P0759,L,White,42
V00759,P0760,S,Blue,45
V00760,P0761,M,White,195
V00761,P0762,S,Black,47
V00762,P0763,L,White,145
V00763,P0764,XL,White,132
V00764,P0765,S,White,155
V00765,P0766,M,Black,61
V00766,P0767,L,Black,153
V00767,P0768,S,Blue,89
V00768,P0769,XL,Black,148
V00769,P0770,M,Red,81
V00770,P0771,L,White,148
V00771,P0772,M,Red,91
V00772,P0773,L,Black,113
V00773,P0774,M,Blue,103
V00774,P0775,XL,White,73
V00775,P0776,L,Red,113
V00776,P0777,L,Black,91
V00777,P0778,XL,Black,116
V00778,P0779,S,White,14
V00779,P0780,XL,Red,177
V00780,P9999,L,Blue,176
V00781,P0782,L,Blue,162
V00782,P0783,L,Blue,145
V00783,P0784,M,Black,71
V00784,P0785,L,White,176
V00785,P0786,L,Blue,141
V00786,P0787,L,Blue,157
V00787,P0788,M,White,196
V00788,P0789,L,Blue,75
V00789,P0790,XL,Red,164
V00790,P0791,M,Blue,89
V00791,P0792,XL,Red,185
V00792,P0793,XL,Blue,0
V00793,P0794,S,Blue,117
V00794,P0795,M,Black,84
V00795,P0796,S,Blue,14
V00796,P0797,XL,Black,135
V00797,P0798,S,White,33
V00798,P0799,M,White,28
V00799,P0800,M,Black,35
V00800,P0801,XL,Black,-5
V00801,P0802,L,Blue,85
V00802,P0803,XL,Black,177
V00803,P0804,M,White,67
V00804,P0805,S,Red,126
V00805,P0806,M,Red,27
V00806,P0807,M,Blue,99
V00807,P0808,XL,White,29
V00808,P0809,L,Red,133
V00809,P0810,M,Red,146
V00810,P9999,L,Red,119
V00811,P0812,M,White,67
V00812,P0813,S,White,156
V00813,P0814,S,White,149
V00814,P0815,M,Blue,159
V00815,P0816,S,Black,38
V00816,P0817,L,White,194
V00817,P0818,M,Black,145
V00818,P0819,L,Blue,45
V00819,P0820,XL,Blue,194
V00820,P0821,M,Blue,160
V00821,P0822,XL,White,30
V00822,P0823,S,Blue,78
V00823,P0824,M,Black,90
V00824,P0825,M,Red,53
V00825,P0826,XL,Black,136
V00826,P0827,S,Red,103
V00827,P0828,XL,Black,33
V00828,P0829,S,Blue,135
V00829,P0830,XL,Black,181
V00830,P0831,S,White,127
V00831,P0832,M,Red,123
V00832,P0833,M,Red,75
V00833,P0834,M,Black,153
V00834,P0835,S,Blue,17
V00835,P0836,M,Red,58
V00836,P0837,S,White,106
V00837,P0838,S,Red,21
V00838,P0839,M,White,108
V00839,P0840,S,Blue,45
V00840,P9999,M,White,10
V00841,P0842,XL,Black,182
V00842,P0843,S,Black,162
V00843,P0844,M,Blue,51
V00844,P0845,XL,Blue,118
V00845,P0846,M,Blue,145
V00846,P0847,XL,Black,97
V00847,P0848,M,Red,166
V00848,P0849,L,White,129
V00849,P0850,S,Red,60
V00850,P0851,M,Red,-5
V00851,P0852,S,Red,113
V00852,P0853,XL,Blue,199
V00853,P0854,L,Red,115
V00854,P0855,M,Blue,171
V00855,P0856,L,Red,114
V00856,P0857,XL,White,98
V00857,P0858,XL,Black,8
V00858,P0859,S,Black,51
V00859,P0860,S,Blue,111
V00860,P0861,M,Black,84
V00861,P0862,M,White,88
V00862,P0863,L,Black,114
V00863,P0864,L,Blue,167
V00864,P0865,L,Red,122
V00865,P0866,S,Red,177
V00866,P0867,M,Red,20
V00867,P0868,L,Red,98
V00868,P0869,XL,White,116
V00869,P0870,S,White,142
V00870,P9999,S,Blue,1
V00871,P0872,M,Red,44
V00872,P0873,L,White,26
V00873,P0874,S,Blue,96
V00874,P0875,M,White,130
V00875,P0876,M,White,108
V00876,P0877,S,Blue,30
V00877,P0878,S,Red,169
V00878,P0879,S,Red,77
V00879,P0880,S,White,42
V00880,P0881,S,Black,20
V00881,P0882,S,White,89
V00882,P0883,S,White,99
V00883,P0884,S,Red,101
V00884,P0885,S,Red,196
V00885,P0886,M,Black,103
V00886,P0887,M,Black,137
V00887,P0888,S,White,77
V00888,P0889,M,Black,82
V00889,P0890,L,White,117
V00890,P0891,XL,Black,60
V00891,P0892,M,Red,147
V00892,P0893,L,Red,117
V00893,P0894,S,Black,0
V00894,P0895,XL,Red,110
V00895,P0896,S,White,170
V00896,P0897,XL,White,83
V00897,P0898,XL,Red,20
V00898,P0899,XL,Red,13
V00899,P0900,M,Red,57
V00900,P9999,L,Blue,-5
V00901,P0902,M,White,41
V00902,P0903,XL,Black,183
V00903,P0904,XL,Black,93
V00904,P0905,L,Black,161
V00905,P0906,S,Red,90
V00906,P0907,M,White,152
V00907,P0908,XL,Black,171
V00908,P0909,M,White,10
V00909,P0910,XL,Blue,150
V00910,P0911,S,Blue,129
V00911,P0912,M,Black,68
V00912,P0913,S,White,67
V00913,P0914,XL,Blue,67
V00914,P0915,M,Red,75
V00915,P0916,XL,Red,28
V00916,P0917,S,Red,72
